연번,주관대학명,학과(부),주관학과명,학년,교과목번호,분반,교과목명,교과목구분,학점,이론시간,실습시간,시간표,교수명,교양영역명,원어강의,팀티칭,원격강좌여부,수강제한인원,비고
1,본부,,학사과,전학년,EA1101029,001,수목보호학,일반선택,3,3,0,토 11:00-14:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
2,본부,,학사과,전학년,EA1101030,001,트랜스미디어스토리텔링,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
3,본부,,학사과,전학년,EA1101051,001,생활 속의 반도체,일반선택,3,3,0,"수 09:00-12:00(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
4,본부,,학사과,전학년,EA1101054,001,비유와 우화로 보는 철학 산책,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
5,본부,,학사과,전학년,EA1101121,001,동양의고전,일반선택,3,3,0,"목 16:00(50)(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
6,본부,,학사과,전학년,EA1101122,001,세계종교입문,일반선택,3,3,0,"목 14:00-17:00(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
7,본부,,학사과,전학년,EA1101123,001,"빅데이터,인공지능과예술",일반선택,1,1,0,"금 18:30(50)(외부)knu10.or.kr, 토 14:00(50)(외부)knu10.or.kr",,,,N,Y,20,KNU10
8,본부,,학사과,전학년,EA1101125,001,빅데이터이해및활용,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
9,본부,,학사과,전학년,EA1101127,001,세계의문화유산,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
10,본부,,학사과,전학년,EA1101128,001,"양명학,돌봄과공생의길",일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
